article_id,outlet,sentence,verb_lemma,voice,agent_text,agent_category,patient_text,patient_category,hedged
fox_floyd_01_two-cops-conduct-complaints,fox,"Derek Chauvin, the Minneapolis police officer caught on camera kneeling on the neck of George Floyd as he gasped for air, has been the subject of a 10 conduct complaints and three police shootings that led to no disciplinary action during his 19 years on the job.",gasp,active,he,other,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"Chauvin, an officer who had been praised for valor during his time on the Minneapolis Police Department, was fired from the force on Tuesday along with three other officers involved in the incident: Thao, Thomas Lane, and J. Alexander Kueng.",fire,passive,Chauvin an officer who had been praised for valor during his time on the Minneapolis Police Department Thao Thomas Lane and J. Alexander Kueng,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"On Wednesday, Minneapolis Mayor Jacob Frey demanded Chauvin, the officer seen on video kneeling on Floyd's neck, be arrested.",arrest,passive,Chauvin the officer seen on video kneeling on Floyd 's neck,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"""Why is the man who killed George Floyd not in jail?""",kill,active,who,other,George Floyd,victim,False
fox_floyd_01_two-cops-conduct-complaints,fox,Frey asked.,ask,active,Frey,other,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"In 2006, he was one of five officers who responded to a stabbing at the home of Wayne Reyes, a man police claimed stabbed his friend, his girlfriend, and then threatened to kill them all with a shotgun.",respond,active,who,other,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"In 2006, he was one of five officers who responded to a stabbing at the home of Wayne Reyes, a man police claimed stabbed his friend, his girlfriend, and then threatened to kill them all with a shotgun.",claim,active,a man police,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"In 2006, he was one of five officers who responded to a stabbing at the home of Wayne Reyes, a man police claimed stabbed his friend, his girlfriend, and then threatened to kill them all with a shotgun.",kill,active,,none,them all,other,True
fox_floyd_01_two-cops-conduct-complaints,fox,"When he got out of the vehicle with the shotgun in his hand, officers fired several shots at Reyes, killing him.",fire,active,officers,police,several shots,other,False
fox_floyd_01_two-cops-conduct-complaints,fox,"When he got out of the vehicle with the shotgun in his hand, officers fired several shots at Reyes, killing him.",kill,active,,none,him,other,False
fox_floyd_01_two-cops-conduct-complaints,fox,"According to NBC News, it was unclear which officer shot first.",shoot,active,which officer,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"Later that same year, officers were responding to a domestic call when Chauvin claimed the man reached for his gun.",respond,active,officers,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"Later that same year, officers were responding to a domestic call when Chauvin claimed the man reached for his gun.",claim,active,Chauvin,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"The man was shot and wounded, though not by Chauvin.",shoot,passive,The man,civilian,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,Thao has been sued by a man who alleged Thao and two officers used excessive force during a 2014 arrest.,allege,active,who,other,Thao and two officers,police,True
fox_floyd_01_two-cops-conduct-complaints,fox,"According to the lawsuit, Thao brutally beat up a handcuffed man during an arrest before escorting him to jail in only his underwear and a T-shirt.",beat,active,Thao,police,a handcuffed man,civilian,False
fox_floyd_01_two-cops-conduct-complaints,fox,"A lawsuit stemming from the incident, which was eventually settled out of court, alleged Thao and another officer punched and kneed the man's face and body, which resulted in broken teeth as well as other trauma and bruising.",allege,active,A lawsuit stemming from the incident which was eventually settled out of court,other,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"A lawsuit stemming from the incident, which was eventually settled out of court, alleged Thao and another officer punched and kneed the man's face and body, which resulted in broken teeth as well as other trauma and bruising.",punch,active,Thao and another officer,police,,none,True
fox_floyd_01_two-cops-conduct-complaints,fox,"Seth Levanthal, an attorney in the lawsuit, told the Daily Beast that ""seeing that horrific video begs the question: what did the police do internally in response to the 2017 incident,"" adding, ""what happened back in 2017 was a pretty serious incident"" that ""made no headlines at all.""",tell,active,Seth Levanthal an attorney in the lawsuit,other,the Daily Beast,other,False
fox_floyd_01_two-cops-conduct-complaints,fox,The shocking death of Floyd in Minneapolis has led to widespread protests and calls for the officers to be held accountable for their actions on Monday night.,hold,passive,the officers,police,,none,False
fox_floyd_01_two-cops-conduct-complaints,fox,"In the video, Thao is seen standing guard and trying to keep bystanders at bay while Chauvin presses his knee on Floyd's neck for several minutes before Floyd goes limp.",press,active,Chauvin,police,his knee,other,False
fox_floyd_01_two-cops-conduct-complaints,fox,Floyd was pronounced dead shortly thereafter at Hennepin County Medical Center.,pronounce,passive,Floyd,victim,,none,False
fox_floyd_02_gentle-giant-profile,fox,"But like so many other Americans, Floyd lost his job in the service industry when the coronavirus pandemic hit and a stay-at-home order was issued.",lose,active,Floyd,victim,his job,other,False
fox_floyd_02_gentle-giant-profile,fox,"But like so many other Americans, Floyd lost his job in the service industry when the coronavirus pandemic hit and a stay-at-home order was issued.",hit,active,the coronavirus pandemic,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"Fast forward a few weeks and Floyd, who has been accused of trying to pass a counterfeit $20 bill Monday night, was videotaped pinned on the ground by Minneapolis police officer Derek Chavin and struggled for air and begged for his life.",pin,active,,none,Minneapolis police officer Derek Chavin,police,False
fox_floyd_02_gentle-giant-profile,fox,It also forced leaders in Minneapolis to take a hard look at how its people are policed.,force,active,It,other,leaders in Minneapolis,other,False
fox_floyd_02_gentle-giant-profile,fox,"Although most protests were peaceful, looting was reported, more than a dozen buildings were torched, and one man was shot.",report,passive,looting,other,,none,True
fox_floyd_02_gentle-giant-profile,fox,"Although most protests were peaceful, looting was reported, more than a dozen buildings were torched, and one man was shot.",shoot,passive,one man,civilian,,none,True
fox_floyd_02_gentle-giant-profile,fox,"On Thursday, Minneapolis Police Chief Medaria Arrandondo acknowledged that his department contributed to the so-called ""deficit of hope"" that has plagued the city well before Floyd's death but said urged unruly demonstrators to stay home.",acknowledge,active,Minneapolis Police Chief Medaria Arrandondo,police,,none,False
fox_floyd_02_gentle-giant-profile,fox,"On Thursday, Minneapolis Police Chief Medaria Arrandondo acknowledged that his department contributed to the so-called ""deficit of hope"" that has plagued the city well before Floyd's death but said urged unruly demonstrators to stay home.",say,active,,none,,none,False
fox_floyd_02_gentle-giant-profile,fox,"Yates lost to Temple, 38-20.",lose,active,Yates,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"Donnell Cooper, one of Floyd's former classmates, said he remembered watching Floyd score touchdowns and commented on how he towered over everyone and earned the nickname ""gentle giant.""  ""Quiet personality but a beautiful spirit,"" Cooper said.",say,active,Donnell Cooper one of Floyd 's former classmates,victim,,none,False
fox_floyd_02_gentle-giant-profile,fox,"Donnell Cooper, one of Floyd's former classmates, said he remembered watching Floyd score touchdowns and commented on how he towered over everyone and earned the nickname ""gentle giant.""  ""Quiet personality but a beautiful spirit,"" Cooper said.",say,active,Cooper,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"Christopher Harris, Floyd's childhood friend, said he and some of their mutual friends had moved to Minneapolis in search of jobs around 2014.",say,active,Christopher Harris Floyd 's childhood friend,victim,,none,False
fox_floyd_02_gentle-giant-profile,fox,Harris said he talked Floyd into also moving there after he got out of prison.,say,active,Harris,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"""He was looking to start over fresh, a new beginning,"" Harris said.",say,active,Harris,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"I said, 'Floyd, don't call me Bossman.",say,active,I,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,Harris said he spoke with Floyd on Sunday night and gave him some information for contacting a temporary jobs agency.,say,active,Harris,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"""He was doing whatever it takes to maintain going forward with his life,"" Harris said, adding he couldn't believe that Floyd would resort to forgery.",say,active,Harris,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"""  Floyd's brother, Philonise Floyd, told CNN that ""knowing my brother is to love my brother.""",tell,active,Floyd 's brother Philonise Floyd,victim,CNN,other,False
fox_floyd_02_gentle-giant-profile,fox,"""He's a gentle giant, he don't hurt anybody,"" he told Don Lemon.",tell,active,he,other,Don Lemon,other,False
fox_floyd_02_gentle-giant-profile,fox,"Floyd leaves behind a 6-year-old daughter who still lives in Houston with her mother, Roxie Washington, the Houston Chronicle reported.",report,active,the Houston Chronicle,other,,none,True
fox_floyd_02_gentle-giant-profile,fox,"""The way he died was senseless,"" Harris said.",die,active,he,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,"""The way he died was senseless,"" Harris said.",say,active,Harris,other,,none,False
fox_floyd_02_gentle-giant-profile,fox,He pleaded for his life.,plead,active,He,other,,none,False
fox_floyd_03_autopsy-results,fox,"Crump said the autopsy found the compression cut off blood to Floyd's brain, and weight on his back made it hard to breathe.",say,active,Crump,other,,none,False
fox_floyd_03_autopsy-results,fox,"Crump said the autopsy found the compression cut off blood to Floyd's brain, and weight on his back made it hard to breathe.",breathe,active,,none,,none,False
fox_floyd_03_autopsy-results,fox,"Another autopsy, conducted by the Hennepin County Medical Examiner's office, stated that Floyd died from ""cardiopulmonary arrest complicating law enforcement subdual restraint, and neck compression"" while being restrained, Fox 9 reported.",state,active,Another autopsy conducted by the Hennepin County Medical Examiner 's office,other,,none,True
fox_floyd_03_autopsy-results,fox,"Another autopsy, conducted by the Hennepin County Medical Examiner's office, stated that Floyd died from ""cardiopulmonary arrest complicating law enforcement subdual restraint, and neck compression"" while being restrained, Fox 9 reported.",die,active,Floyd,victim,,none,True
fox_floyd_03_autopsy-results,fox,"Another autopsy, conducted by the Hennepin County Medical Examiner's office, stated that Floyd died from ""cardiopulmonary arrest complicating law enforcement subdual restraint, and neck compression"" while being restrained, Fox 9 reported.",restrain,passive,,none,,none,True
fox_floyd_03_autopsy-results,fox,"Another autopsy, conducted by the Hennepin County Medical Examiner's office, stated that Floyd died from ""cardiopulmonary arrest complicating law enforcement subdual restraint, and neck compression"" while being restrained, Fox 9 reported.",report,active,Fox 9,other,,none,True
fox_floyd_03_autopsy-results,fox,"Forensic pathologist Dr. Michael Baden was one of two doctors hired by the Floyd family to conduct an independent review after prosecutors said a preliminary finding from the official autopsy concluded the combined effects of being restrained, potential intoxicants in Floyd's system and his underlying health issues, including heart disease, likely contributed to his death.",say,active,prosecutors,other,,none,False
fox_floyd_03_autopsy-results,fox,"Forensic pathologist Dr. Michael Baden was one of two doctors hired by the Floyd family to conduct an independent review after prosecutors said a preliminary finding from the official autopsy concluded the combined effects of being restrained, potential intoxicants in Floyd's system and his underlying health issues, including heart disease, likely contributed to his death.",restrain,passive,,none,,none,False
fox_floyd_03_autopsy-results,fox,A video showing a white officer was kneeling on Floyd's neck for eight minutes before his death has sparked national riots in major cities from San Francisco to Boston.,kneel,active,A video showing a white officer,police,,none,False
fox_floyd_03_autopsy-results,fox,"Baden has conducted other independent reviews in similar cases of police brutality including that of Eric Garner, a black man who was placed in a chokehold by New York police who were attempting to arrest him for selling loose cigarettes and would not relent even as he pleaded that he could not breathe.",arrest,active,,none,him,other,True
fox_floyd_03_autopsy-results,fox,"Baden has conducted other independent reviews in similar cases of police brutality including that of Eric Garner, a black man who was placed in a chokehold by New York police who were attempting to arrest him for selling loose cigarettes and would not relent even as he pleaded that he could not breathe.",plead,active,he,other,,none,True
fox_floyd_03_autopsy-results,fox,"Baden has conducted other independent reviews in similar cases of police brutality including that of Eric Garner, a black man who was placed in a chokehold by New York police who were attempting to arrest him for selling loose cigarettes and would not relent even as he pleaded that he could not breathe.",breathe,active,he,other,,none,True
fox_floyd_03_autopsy-results,fox,"Video taken of Floyd's arrest over a suspected counterfeit $20 bill shows former Minneapolis police officer Derek Chauvin, 44, kneeling on Floyd's neck for eight minutes, 46 seconds, including nearly three minutes after Floyd stopped moving and talking.",kneel,active,,none,,none,False
fox_floyd_03_autopsy-results,fox,"Video taken of Floyd's arrest over a suspected counterfeit $20 bill shows former Minneapolis police officer Derek Chauvin, 44, kneeling on Floyd's neck for eight minutes, 46 seconds, including nearly three minutes after Floyd stopped moving and talking.",stop,active,Floyd,victim,,none,False
fox_floyd_03_autopsy-results,fox,"Floyd fell to the ground as police were attempting to put him in the squad car, saying he was claustrophobic, according to the complaint.",say,active,,none,,none,False
fox_floyd_03_autopsy-results,fox,"Floyd can be heard on video saying ""I can't breathe,"" numerous times.",say,active,,none,,none,False
fox_floyd_03_autopsy-results,fox,"Floyd can be heard on video saying ""I can't breathe,"" numerous times.",breathe,active,I,other,,none,False
fox_floyd_03_autopsy-results,fox,Chauvin was arrested on Friday and charged with third-degree murder and second-degree manslaughter and is in custody in state prison.,arrest,passive,Chauvin,police,,none,False
fox_floyd_03_autopsy-results,fox,Three other officers who stood by and watched the incident unfold without intervening were fired the day after the incident but have not been arrested or charged in the case despite cries from the community for swift legal action.,fire,passive,Three other officers who stood by and watched the incident unfold without intervening,police,,none,False
fox_floyd_03_autopsy-results,fox,Three other officers who stood by and watched the incident unfold without intervening were fired the day after the incident but have not been arrested or charged in the case despite cries from the community for swift legal action.,arrest,passive,,none,,none,False
fox_floyd_03_autopsy-results,fox,"Another layer in the case was revealed on Sunday after Crump said Chauvin must have known Floyd before the incident that resulted in his death because the two worked a nightclub together as recently as last year, its former owner said.",say,active,Crump,other,,none,False
fox_floyd_03_autopsy-results,fox,"Another layer in the case was revealed on Sunday after Crump said Chauvin must have known Floyd before the incident that resulted in his death because the two worked a nightclub together as recently as last year, its former owner said.",say,active,its former owner,other,,none,False
fox_floyd_03_autopsy-results,fox,The club owner said she was unsure if Chauvin and Floyd knew each other while they both worked at the same venue.,say,active,The club owner,other,,none,False
fox_floyd_03_autopsy-results,fox,"And so they had to overlap,"" Crump said on CBS News' ""Face The Nation.""",say,active,Crump,other,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,Skip to contentSkip to site indexSection Navigation Search U.S. GIVE THE TIMES  Account What Happened in the Chaotic Moments Before George Floyd Died The episode began with a report of a $20 counterfeit bill.,die,active,George Floyd,victim,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"In a move that has since prompted protests in cities across the country, Mr. Chauvin knelt down on Mr. Floyd behind a police vehicle outside the store.",kneel,active,Mr. Chauvin,police,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"For eight minutes and 46 seconds, according to a criminal complaint filed on Friday by the Hennepin County District Attorney, the police officer pressed his knee into Mr. Floyd’s neck in silence, staring toward the ground as his captive gasped repeatedly that he could not breathe.",press,active,the police officer,police,his knee,other,True
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"For eight minutes and 46 seconds, according to a criminal complaint filed on Friday by the Hennepin County District Attorney, the police officer pressed his knee into Mr. Floyd’s neck in silence, staring toward the ground as his captive gasped repeatedly that he could not breathe.",gasp,active,his captive,other,,none,True
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"For eight minutes and 46 seconds, according to a criminal complaint filed on Friday by the Hennepin County District Attorney, the police officer pressed his knee into Mr. Floyd’s neck in silence, staring toward the ground as his captive gasped repeatedly that he could not breathe.",breathe,active,he,other,,none,True
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"Bystanders waved their cellphones, cursed and pleaded for help, and still, for two minutes and 53 seconds after Mr. Floyd had stopped protesting and became unresponsive, the officer continued to kneel.",plead,active,,none,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"Bystanders waved their cellphones, cursed and pleaded for help, and still, for two minutes and 53 seconds after Mr. Floyd had stopped protesting and became unresponsive, the officer continued to kneel.",stop,active,Mr. Floyd,victim,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"Bystanders waved their cellphones, cursed and pleaded for help, and still, for two minutes and 53 seconds after Mr. Floyd had stopped protesting and became unresponsive, the officer continued to kneel.",kneel,active,,none,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"The case has become part of a now-familiar history of police violence in recent years in which African-American men have died in encounters that were shockingly mundane in their origins — Eric Garner, who died after a 2014 arrest in New York for selling cigarettes without tax stamps; Michael Brown, who died in an encounter with the police the same year in Ferguson, Mo., after walking in the street instead of using the sidewalk.",die,active,African American men,other,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"The case has become part of a now-familiar history of police violence in recent years in which African-American men have died in encounters that were shockingly mundane in their origins — Eric Garner, who died after a 2014 arrest in New York for selling cigarettes without tax stamps; Michael Brown, who died in an encounter with the police the same year in Ferguson, Mo., after walking in the street instead of using the sidewalk.",die,active,who,other,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"The case has become part of a now-familiar history of police violence in recent years in which African-American men have died in encounters that were shockingly mundane in their origins — Eric Garner, who died after a 2014 arrest in New York for selling cigarettes without tax stamps; Michael Brown, who died in an encounter with the police the same year in Ferguson, Mo., after walking in the street instead of using the sidewalk.",die,active,who,other,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,Mr. Floyd’s case began with a report of a counterfeit $20 bill that a storekeeper said he tried to pass to buy cigarettes.,say,active,a storekeeper,other,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"“He died for nothing — something about a fake bill — that was nothing,” said Jason Polk, 53, a city bus driver and one of a number of South Minneapolis residents who have expressed outrage over the case.",die,active,He,other,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"“He died for nothing — something about a fake bill — that was nothing,” said Jason Polk, 53, a city bus driver and one of a number of South Minneapolis residents who have expressed outrage over the case.",say,active,Jason Polk 53 a city bus driver and one of a number of South Minneapolis residents who have expressed outrage over the case,civilian,,none,False
nyt_floyd_01_chauvin-floyd-worked-together,nyt,"“Thank God a young person had a camera to video it,” the governor said.",say,active,the governor,other,,none,False
